"hour_id","4850303_0_cu_ul_flow_mbyte","4850303_0_ct_ul_flow_mbyte","4850303_0_cu_dl_flow_mbyte","4850303_0_ct_dl_flow_mbyte","4850303_1_cu_ul_flow_mbyte","4850303_1_ct_ul_flow_mbyte","4850303_1_cu_dl_flow_mbyte","4850303_1_ct_dl_flow_mbyte","4850303_2_cu_ul_flow_mbyte","4850303_2_ct_ul_flow_mbyte","4850303_2_cu_dl_flow_mbyte","4850303_2_ct_dl_flow_mbyte","4850319_0_cu_ul_flow_mbyte","4850319_0_ct_ul_flow_mbyte","4850319_0_cu_dl_flow_mbyte","4850319_0_ct_dl_flow_mbyte","4850319_1_cu_ul_flow_mbyte","4850319_1_ct_ul_flow_mbyte","4850319_1_cu_dl_flow_mbyte","4850319_1_ct_dl_flow_mbyte","4850319_2_cu_ul_flow_mbyte","4850319_2_ct_ul_flow_mbyte","4850319_2_cu_dl_flow_mbyte","4850319_2_ct_dl_flow_mbyte","4850319_6_cu_ul_flow_mbyte","4850319_6_ct_ul_flow_mbyte","4850319_6_cu_dl_flow_mbyte","4850319_6_ct_dl_flow_mbyte","4850319_7_cu_ul_flow_mbyte","4850319_7_ct_ul_flow_mbyte","4850319_7_cu_dl_flow_mbyte","4850319_7_ct_dl_flow_mbyte","4850319_8_cu_ul_flow_mbyte","4850319_8_ct_ul_flow_mbyte","4850319_8_cu_dl_flow_mbyte","4850319_8_ct_dl_flow_mbyte","4857676_129_cu_ul_flow_mbyte","4857676_129_ct_ul_flow_mbyte","4857676_129_cu_dl_flow_mbyte","4857676_129_ct_dl_flow_mbyte"
"2023010215","13.57375","1.74385","198.05883","9.85982","176.56764","52.34875","1137.41382","383.15484","14.92809","3.39971","317.8653","8.77797","31.73375","3.49526","1179.81962","6.8999","39.87984","23.19391","458.09047","490.45929","11.03322","14.55257","127.98262","440.03989","30.02673","34.72327","381.85498","837.68907","42.86612","66.84324","517.67517","1014.29966","87.11948","103.34497","1643.41732","2031.55927","0","0.01267","0","0.01761"
"2023010216","44.08274","5.73969","668.65557","47.70432","162.83571","51.10944","2374.41858","506.91757","27.32841","53.34965","364.9568","580.56463","67.40886","30.32865","1118.78497","831.60025","69.07395","150.97167","1359.28167","3334.19599","57.01041","29.65615","1310.63746","436.29046","63.07768","47.48304","647.57732","1233.67165","89.78427","239.61184","1818.64023","3398.92564","446.18001","193.35661","5909.74987","4300.60561","5.09479","1.70908","73.26599","15.18584"
"2023010217","85.09006","18.71176","761.56117","94.0868","238.24044","185.52669","2732.82537","1488.29941","59.37162","68.70378","1081.47957","188.41484","98.71859","104.63292","870.70458","1217.44141","79.981","55.93435","1027.83278","1427.6545","63.5989","59.1136","789.54477","1933.58693","411.16048","70.82351","2444.95132","1038.42419","191.76399","273.04827","1910.53565","3399.31885","560.16394","296.79844","6438.75013","4965.9492","12.37956","48.22423","190.96442","103.83183"
"2023010218","151.99872","45.34808","801.62554","169.30258","672.14844","158.30762","3867.48933","2138.75501","129.0494","51.42111","1555.39037","525.76947","91.86789","42.43193","1115.84187","1971.12811","80.68933","50.98322","1326.08261","918.99113","174.44282","71.86489","1637.54069","1409.12024","175.84868","98.98555","1668.73232","1517.79469","221.76848","138.04312","2888.46262","1677.9077","840.89757","336.66017","7445.15426","4159.45978","8.3344","22.49564","68.3713","496.93709"
"2023010219","64.70418","37.10069","580.62155","216.75539","1105.87028","515.9589","4299.60082","2898.41853","179.75524","25.29743","2363.7772","352.19336","106.1554","129.65042","1336.79394","1409.83452","87.93203","69.28741","1762.96177","1064.89665","153.89788","198.28819","1889.08379","1219.2197","515.53055","150.72971","2048.3251","2686.52547","240.93969","225.71589","3002.95261","3511.40203","753.17691","341.23359","6106.01035","4837.07416","2.2452","27.46893","11.04274","370.45693"
"2023010220","61.19265","60.31397","624.50462","623.11329","396.73347","181.85883","3623.85254","1633.69524","196.00388","49.20206","1602.35235","234.39458","289.32484","171.11798","3508.77732","1488.21842","120.78584","161.34365","1411.88552","1321.77239","103.64975","674.72295","1080.85628","1746.14981","214.26495","93.65379","3013.48495","1505.71444","309.19142","310.9662","3778.28524","4585.27402","969.19154","696.67024","7677.21534","4932.61619","9.9076","66.17419","114.82665","846.31016"
"2023010221","71.23574","9.13675","961.4403","191.09756","461.98991","319.86678","3129.91448","2399.80782","564.95207","26.79122","545.12789","280.54467","151.13166","295.42791","2736.36373","2108.03118","192.96352","48.62314","2439.43793","741.61568","97.69013","44.79848","1230.47149","780.78701","497.47269","221.8411","3492.85441","1691.02384","124.75642","273.28543","1812.41881","4834.71585","1031.67856","719.45209","7018.33519","6372.2178","145.02899","10.66466","466.47708","32.29642"
"2023010222","80.17195","13.51331","1925.5939","253.12174","229.0438","142.14408","2736.15733","1842.97165","243.95368","32.61239","683.6083","261.41393","202.43187","135.54337","2618.41555","1184.70763","184.7846","54.62468","2536.04283","647.08917","1111.40365","155.06029","2349.94364","1432.67051","505.45678","202.42929","1933.15728","1979.38156","682.44206","260.65616","3951.27537","4277.41375","784.57593","490.72518","7408.79146","9248.95684","12.44893","38.39324","19.98976","244.3526"
"2023010223","126.02941","38.63231","1391.3846","170.37318","680.5945","246.40871","1697.98002","2542.47835","172.53277","191.93792","2757.61279","452.45043","266.134","175.48467","2330.3265","2174.38264","273.47588","63.99643","2352.25951","871.82668","1247.02431","83.11308","2050.6799","1439.56213","134.11915","225.27657","1609.92295","2874.38363","307.08733","315.9391","2507.37865","5105.47688","1194.48678","571.55334","9134.77118","7472.75299","8.86408","16.9374","111.60057","418.69362"
"2023010300","278.84988","53.51577","974.5143","141.41748","1087.00804","236.70324","3492.40906","2139.62193","147.02949","43.17577","1391.54601","431.25447","167.6695","163.38984","1897.96624","2584.44165","267.62306","90.17791","2831.21933","534.02415","954.81694","122.17388","2907.21924","1303.52228","215.25756","187.22715","1936.08557","1874.59745","330.19491","750.59862","4477.29536","3617.72143","987.74881","1120.25104","7732.93414","6985.08106","40.56139","102.24643","308.71767","232.2189"
"2023010301","86.80671","13.43637","1929.35696","187.36017","901.82748","178.01631","4434.54387","3657.51971","92.82221","55.04173","1539.97754","245.76919","151.31153","127.98794","1687.39928","2413.97535","196.5187","131.55617","2635.97022","880.85708","176.86072","182.75762","1322.99501","1698.52181","389.92463","147.39219","3216.87364","2306.44659","303.82795","527.4435","3884.42577","3535.91593","669.47703","873.46818","3890.98642","5547.57291","18.96588","16.62002","164.15481","109.37822"
"2023010302","299.51614","20.06432","2595.73822","167.61568","558.3574","288.91495","4369.27135","3526.65662","130.41969","46.47176","1670.07384","712.12292","685.29178","128.37475","1640.35216","1587.91089","255.37217","65.73311","2361.10629","735.94059","235.96265","109.7311","1403.8298","1858.27317","748.598","137.81814","2297.44041","2063.89194","306.48165","180.46554","1931.47848","4351.10641","637.58843","393.92356","4776.86813","5545.92985","0.89102","6.16167","6.20152","23.93759"
"2023010303","53.8729","6.27588","1502.49327","30.90938","313.33954","88.77071","3562.39326","1411.15228","127.26035","56.49338","2468.42384","650.5626","1163.65642","267.41836","1492.00246","900.20917","194.08698","124.83627","2304.833","888.99524","379.56357","212.8707","1375.68787","1352.91454","151.72399","249.38415","1865.12679","3566.98654","426.68403","294.94201","1967.6861","4911.03326","725.07089","394.52047","6861.34378","4944.53177","0.27179","13.49198","0.42391","253.16701"
"2023010304","240.29602","24.50996","895.57318","129.11739","317.74481","160.15344","3682.57669","3079.13554","466.61436","204.79642","3949.33528","951.28534","316.82306","54.82924","1402.84489","1200.20221","240.31858","103.01097","4318.49429","2297.77699","577.93819","80.85664","2013.29537","1620.59441","736.22945","108.94417","3513.49134","1559.94664","482.18386","572.78083","2655.7185","5289.61986","2190.62783","888.84617","13122.94384","4358.49204","0.67884","6.05221","1.10696","233.89274"
